rm_item_desc;date;amount_rs_crore;prompts_time_1;sequence
RM2.1.1.1) RBI's Claims on - Central Govt;4/26/2002;;4/26/2002;1157
RM2.1.1.1) RBI's Claims on - Central Govt;5/3/2002;;5/3/2002;1157
RM2.1.1.1) RBI's Claims on - Central Govt;5/10/2002;;5/10/2002;1157
RM2.1.1.1) RBI's Claims on - Central Govt;5/17/2002;;5/17/2002;1157
RM2.1.1.1) RBI's Claims on - Central Govt;5/24/2002;;5/24/2002;1157
RM2.1.1.1) RBI's Claims on - Central Govt;5/31/2002;;5/31/2002;1157
RM2.1.1.1) RBI's Claims on - Central Govt;6/7/2002;;6/7/2002;1157
RM2.1.1.1) RBI's Claims on - Central Govt;6/14/2002;;6/14/2002;1157
RM2.1.1.1) RBI's Claims on - Central Govt;6/21/2002;;6/21/2002;1157
RM2.1.1.1) RBI's Claims on - Central Govt;6/28/2002;;6/28/2002;1157
RM2.1.1.1) RBI's Claims on - Central Govt;7/5/2002;;7/5/2002;1157
RM2.1.1.1) RBI's Claims on - Central Govt;7/12/2002;;7/12/2002;1157
RM2.1.1.1) RBI's Claims on - Central Govt;7/19/2002;;7/19/2002;1157
RM2.1.1.1) RBI's Claims on - Central Govt;7/26/2002;;7/26/2002;1157
RM2.1.1.1) RBI's Claims on - Central Govt;8/2/2002;;8/2/2002;1157
RM2.1.1.1) RBI's Claims on - Central Govt;8/9/2002;;8/9/2002;1157
RM2.1.1.1) RBI's Claims on - Central Govt;8/16/2002;;8/16/2002;1157
RM2.1.1.1) RBI's Claims on - Central Govt;8/23/2002;;8/23/2002;1157
RM2.1.1.1) RBI's Claims on - Central Govt;8/30/2002;;8/30/2002;1157
RM2.1.1.1) RBI's Claims on - Central Govt;9/6/2002;;9/6/2002;1157
RM2.1.1.1) RBI's Claims on - Central Govt;9/13/2002;;9/13/2002;1157
RM2.1.1.1) RBI's Claims on - Central Govt;9/20/2002;;9/20/2002;1157
RM2.1.1.1) RBI's Claims on - Central Govt;9/27/2002;;9/27/2002;1157
RM2.1.1.1) RBI's Claims on - Central Govt;10/4/2002;;10/4/2002;1157
RM2.1.1.1) RBI's Claims on - Central Govt;10/11/2002;;10/11/2002;1157
RM2.1.1.1) RBI's Claims on - Central Govt;10/18/2002;;10/18/2002;1157
RM2.1.1.1) RBI's Claims on - Central Govt;10/25/2002;;10/25/2002;1157
RM2.1.1.1) RBI's Claims on - Central Govt;11/1/2002;;11/1/2002;1157
RM2.1.1.1) RBI's Claims on - Central Govt;11/8/2002;;11/8/2002;1157
RM2.1.1.1) RBI's Claims on - Central Govt;11/15/2002;;11/15/2002;1157
RM2.1.1.1) RBI's Claims on - Central Govt;11/22/2002;;11/22/2002;1157
RM2.1.1.1) RBI's Claims on - Central Govt;11/29/2002;;11/29/2002;1157
RM2.1.2) RBI's Claims on Banks & Commercial sector;1/4/2002;19977;1/4/2002;1158
RM2.1.2) RBI's Claims on Banks & Commercial sector;1/11/2002;16665;1/11/2002;1158
RM2.1.2) RBI's Claims on Banks & Commercial sector;1/18/2002;20175;1/18/2002;1158
RM2.1.2) RBI's Claims on Banks & Commercial sector;1/25/2002;19131;1/25/2002;1158
RM2.1.2) RBI's Claims on Banks & Commercial sector;2/1/2002;18037;2/1/2002;1158
RM2.1.2) RBI's Claims on Banks & Commercial sector;2/8/2002;21381;2/8/2002;1158
RM2.1.2) RBI's Claims on Banks & Commercial sector;2/15/2002;20901;2/15/2002;1158
RM2.1.2) RBI's Claims on Banks & Commercial sector;2/22/2002;19611;2/22/2002;1158
RM2.1.2) RBI's Claims on Banks & Commercial sector;3/1/2002;21838;3/1/2002;1158
RM2.1.2) RBI's Claims on Banks & Commercial sector;3/8/2002;16965;3/8/2002;1158
RM2.1.2) RBI's Claims on Banks & Commercial sector;3/15/2002;21562;3/15/2002;1158
RM2.1.2) RBI's Claims on Banks & Commercial sector;3/22/2002;17869;3/22/2002;1158
RM2.1.2) RBI's Claims on Banks & Commercial sector;3/29/2002;19528;3/29/2002;1158
RM2.1.2) RBI's Claims on Banks & Commercial sector;4/5/2002;10973;4/5/2002;1158
RM2.1.2) RBI's Claims on Banks & Commercial sector;4/12/2002;12356;4/12/2002;1158
